Pupuh Gangsa A B C D,
0 5 0 6 0 5,
0 0 5 3 1 0,
0 0 0 5 3 5,
0 0 3 1 5 0,
0 0 0 5 0 5,
0 0 5 3 1 0,
0 0 1 6 0 1,
0 0 5 5 5 0,
0 0 0 3 0 6,
0 0 3 0 3 0,
0 3 3 6 0 1,
0 0 1 1 1 0,
0 0 3 0 3 5,
0 0 0 3 5 0,
0 0 1 5 0 6,
0 0 3 3 3 0,
0 1 0 0 1 1,
0 0 1 1 0 0,
0 0 0 6 3 3,
0 0 3 6 5 1,
0 0 1 1 0 0,
0 0 3 1 1 3,
0 0 0 6 3 1,
0 0 1 5 5 0,
0 0 1 3 0 3,
0 0 3 0 3 0,
0 3 3 6 0 3,
0 0 1 1 1 0,
0 0 3 0 3 3,
0 0 0 3 5 0,
0 0 1 0 0 1,
0 0 3 1 3 0,
0 5 0 5 0 5,
0 0 5 5 5 0,
0 0 1 3 0 5,
0 0 3 1 3 0,
0 0 0 5 0 5,
0 0 5 3 5 0,
0 0 1 5 0 6,
0 0 5 6 3 0,
0 0 0 6 1 1,
0 0 1 1 0 0,
0 1 0 1 0 5,
0 0 3 6 6 0,
0 0 1 1 0 6,
0 0 3 1 5 0,
0 0 0 3 3 1,
0 0 1 1 5 0,
0 6 0 6 0 6,
0 0 6 3 6 0,
0 0 1 6 3 1,
0 0 5 1 5 0,
0 0 0 6 0 6,
0 0 6 3 6 0,
0 0 1 6 3 1,
0 0 5 1 5 0,
0 0 0 5 0 5,
0 0 3 3 3 0,
0 3 0 6 0 1,
0 0 1 1 1 0,
0 0 3 0 3 5,
0 0 0 3 5 0,
0 0 1 0 0 1,
0 0 3 1 3 0,
0 5 0 5 0 5,
0 0 5 3 5 0,
0 0 1 5 0 1,
0 0 3 1 3 0,
0 0 0 5 0 5,
0 0 5 3 5 0,
0 0 1 6 0 1,
0 0 5 5 5 0,
0 0 0 3 0 6,
0 0 3 0 3 0,
0 3 0 6 0 1,
0 0 1 1 1 0,
0 0 3 0 3 5,
0 0 0 3 5 0,
0 0 1 5 0 6,
0 0 3 3 3 0,
0 1 0 0 1 1,
0 0 1 1 0 0,
0 0 0 1 3 3,
0 0 3 6 5 1,
0 0 1 1 0 0,
0 0 3 1 1 3,
0 0 0 6 0 1,
0 0 1 1 5 0,
0 0 0 6 0 3,
0 0 3 3 3 0,
0 3 0 3 0 3,
0 0 1 1 5 0,
0 0 3 0 3 3,
0 0 0 3 5 0,
0 0 1 0 0 1,
0 0 3 1 3 0,
0 5 0 6 0 5,
0 0 5 3 5 0,
0 0 1 6 0 5,
0 0 3 1 3 0,
0 0 0 6 0 5,
0 0 5 3 5 0,
0 0 1 5 0 6,
0 0 5 6 3 0,
0 0 0 0 1 1,
0 0 1 1 0 0,
0 1 0 1 0 5,
0 0 3 6 6 0,
0 0 1 1 0 6,
0 0 3 1 5 0,
0 0 0 6 3 1,
0 0 1 1 5 0,
0 6 0 6 0 6,
0 0 6 3 6 0,
0 0 1 6 3 1,
0 0 5 1 5 0,
0 0 0 6 0 6,
0 0 6 3 6 0,
0 0 1 6 3 1,
0 0 5 1 5 0,
0 0 0 5 0 5,
0 0 5 3 3 0,
0 5 1 5 0 5,
0 0 3 1 1 0,
0 0 0 5 3 6,
0 0 5 3 5 0,
0 0 1 6 0 1,
0 0 5 5 5 0,
0 3 0 3 0 3,
0 0 3 0 3 0,
0 0 3 6 0 1,
0 0 1 1 1 0,
0 0 3 0 3 3,
0 0 0 3 5 0,
0 0 1 0 0 1,
0 0 3 6 3 0,
0 0 0 2 0 2,
0 0 2 0 2 0,
0 2 0 6 0 3,
0 0 3 1 1 0,
0 0 2 0 3 5,
0 0 3 3 5 0,
0 0 0 3 0 6,
0 0 2 6 2 0,
0 1 0 0 1 1,
0 0 1 1 0 0,
0 0 0 3 3 3,
0 0 3 6 5 1,
0 0 1 1 0 0,
0 0 3 1 1 3,
0 0 0 6 3 1,
0 0 1 5 5 0,
0 0 0 3 0 3,
0 0 3 0 3 0,
0 3 3 6 0 3,
0 0 1 1 1 0,
0 0 3 0 3 3,
0 0 0 3 5 0,
0 0 1 0 0 1,
0 0 3 1 3 0,
0 6 0 6 6 6,
0 0 6 3 0 0,
0 0 1 6 3 1,
0 0 5 1 5 0,
0 0 0 6 0 6,
0 0 6 3 6 0,
0 0 1 5 3 5,
0 0 5 6 5 0,
0 0 0 0 0 1,
0 0 1 1 1 0,
0 1 0 1 3 3,
0 0 3 6 5 1,
0 0 1 1 0 0,
0 0 3 1 5 3,
0 0 0 6 0 1,
0 0 1 1 3 0,
0 5 0 5 0 5,
0 0 5 3 5 0,
0 0 1 5 0 1,
0 0 3 1 3 0,
0 0 0 6 0 5,
0 0 5 3 5 0,
0 0 1 5 0 1,
0 0 5 1 5 0,
0 0 0 6 0 6,
0 0 6 3 6 0,
0 6 1 6 3 1,
0 0 5 1 5 0,
0 0 0 6 0 6,
0 0 6 6 5 0,
0 0 1 6 0 1,
0 0 3 1 3 0,
0 5 0 3 0 5,
0 0 5 3 5 0,
0 0 1 5 0 1,
0 0 3 1 3 0,
0 0 0 5 0 5,
0 0 5 3 5 0,
0 0 1 0 0 5,
0 0 5 5 5 0,
0 0 0 3 0 3,
0 0 3 0 3 0,
0 3 3 6 0 3,
0 0 1 1 1 0,
0 0 3 0 3 3,
0 0 0 3 5 0,
0 0 1 0 0 1,
0 0 3 6 3 0,
0 2 0 2 0 2,
0 0 2 0 2 0,
0 0 0 6 0 2,
0 0 3 1 1 0,
0 0 2 0 3 3,
